..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java,java.org.jfree.chart.axis,Axis,131,1547
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java,java.org.jfree.chart.axis,CategoryAxis,54,1300
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberAxis.java,java.org.jfree.chart.axis,NumberAxis,35,1026
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueAxis.java,java.org.jfree.chart.axis,ValueAxis,103,1524
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartFactory.java,java.org.jfree.chart,ChartFactory,93,1887
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\internal\SerialUtils.java,java.org.jfree.chart.internal,SerialUtils,90,636
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\JFreeChart.java,java.org.jfree.chart,JFreeChart,543,1517
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\legend\LegendItem.java,java.org.jfree.chart.legend,LegendItem,49,984
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\CategoryPlot.java,java.org.jfree.chart.plot,CategoryPlot,81,4527
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\Crosshair.java,java.org.jfree.chart.plot,Crosshair,50,674
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\pie\PiePlot.java,java.org.jfree.chart.plot.pie,PiePlot,47,2921
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\Plot.java,java.org.jfree.chart.plot,Plot,186,1323
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\PolarPlot.java,java.org.jfree.chart.plot,PolarPlot,43,1841
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\SpiderWebPlot.java,java.org.jfree.chart.plot,SpiderWebPlot,29,1281
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\ThermometerPlot.java,java.org.jfree.chart.plot,ThermometerPlot,31,1444
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\XYPlot.java,java.org.jfree.chart.plot,XYPlot,96,4985
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\AbstractRenderer.java,java.org.jfree.chart.renderer,AbstractRenderer,31,2776
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\AbstractCategoryItemRenderer.java,java.org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,54,1550
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BarRenderer.java,java.org.jfree.chart.renderer.category,BarRenderer,54,1202
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\CategoryItemRenderer.java,java.org.jfree.chart.renderer.category,CategoryItemRenderer,46,1439
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\LineAndShapeRenderer.java,java.org.jfree.chart.renderer.category,LineAndShapeRenderer,33,774
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\AbstractXYItemRenderer.java,java.org.jfree.chart.renderer.xy,AbstractXYItemRenderer,65,1526
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\CandlestickRenderer.java,java.org.jfree.chart.renderer.xy,CandlestickRenderer,29,818
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\StandardXYItemRenderer.java,java.org.jfree.chart.renderer.xy,StandardXYItemRenderer,34,902
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYAreaRenderer.java,java.org.jfree.chart.renderer.xy,XYAreaRenderer,35,649
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYBarRenderer.java,java.org.jfree.chart.renderer.xy,XYBarRenderer,42,1085
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYDifferenceRenderer.java,java.org.jfree.chart.renderer.xy,XYDifferenceRenderer,31,1057
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYItemRenderer.java,java.org.jfree.chart.renderer.xy,XYItemRenderer,56,1327
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYLineAndShapeRenderer.java,java.org.jfree.chart.renderer.xy,XYLineAndShapeRenderer,38,1079
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\StandardChartTheme.java,java.org.jfree.chart,StandardChartTheme,54,1644
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\swing\ChartPanel.java,java.org.jfree.chart.swing,ChartPanel,31,2762
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\text\TextUtils.java,java.org.jfree.chart.text,TextUtils,37,706
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\title\TextTitle.java,java.org.jfree.chart.title,TextTitle,32,800
..\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general\DatasetUtils.java,java.org.jfree.data.general,DatasetUtils,52,2330
